Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
DILA0206,_,posfs_KeanuReeves_im10.bmp,KeanuReeves,MattDamon,MattDamon,OrlandoBloom,PatrickDempsey,LeonardoDiCaprio,,,,,posfs_KeanuReeves_im10.bmp,3.726232599998184,
DILA0206,_,posfs_OrlandoBloom_im19.bmp,OrlandoBloom,ElijahWood,ElijahWood,DanielCraig,PatrickDempsey,LeonardoDiCaprio,,,,,posfs_OrlandoBloom_im19.bmp,9.190447299999505,
DILA0206,_,posfs_RobertDowneyJr_im18.bmp,RobertDowneyJr,MattDamon,MattDamon,BradPitt,GeorgeClooney,JustinTimberlake,,,,,4,13.30958290000126,
DILA0206,_,posfs_PatrickDempsey_im14.bmp,PatrickDempsey,KeanuReeves,KeanuReeves,RobertDowneyJr,HughJackman,RyanReynolds,,,,,posfs_PatrickDempsey_im14.bmp,1.7350318999997398,
DILA0206,_,posfs_RyanGosling_im12.bmp,RyanGosling,PatrickDempsey,PatrickDempsey,RyanReynolds,BradPitt,DanielCraig,,,,,posfs_RyanGosling_im12.bmp,5.151397100002214,
DILA0206,_,posfs_JustinTimberlake_im1.bmp,JustinTimberlake,BenAffleck,BenAffleck,ElijahWood,PatrickDempsey,HughJackman,,,,,1,3.991054300000542,
DILA0206,_,posfs_LeonardoDiCaprio_im10.bmp,LeonardoDiCaprio,BenStiller,BenStiller,RyanGosling,PatrickDempsey,RobertPattinson,,,,,posfs_LeonardoDiCaprio_im10.bmp,4.524384600001213,
DILA0206,_,posfs_HughJackman_im21.bmp,HughJackman,OrlandoBloom,OrlandoBloom,GeorgeClooney,RyanGosling,BradPitt,,,,,4,1.8530709000006027,
DILA0206,_,posfs_RobertDowneyJr_im19.bmp,RobertDowneyJr,DanielRadcliffe,DanielRadcliffe,DanielCraig,PatrickDempsey,BenStiller,,,,,posfs_RobertDowneyJr_im19.bmp,17.584187999997084,
DILA0206,_,posfs_OrlandoBloom_im3.bmp,OrlandoBloom,RobertPattinson,RobertPattinson,RyanReynolds,RyanGosling,RobertDowneyJr,,,,,4,7.35890919999656,
DILA0206,_,posfs_ElijahWood_im18.bmp,ElijahWood,PatrickDempsey,PatrickDempsey,JustinTimberlake,RobertPattinson,RobertDowneyJr,,,,,posfs_ElijahWood_im18.bmp,16.95021160000033,
DILA0206,_,posfs_HughJackman_im13.bmp,HughJackman,BradPitt,BradPitt,PatrickDempsey,MattDamon,RobertPattinson,,,,,posfs_HughJackman_im13.bmp,8.134279999998398,
DILA0206,_,posfs_LeonardoDiCaprio_im24.bmp,LeonardoDiCaprio,DanielCraig,DanielCraig,BradPitt,PatrickDempsey,RyanGosling,,,,,posfs_LeonardoDiCaprio_im24.bmp,7.3904294999993,
DILA0206,_,posfs_RyanReynolds_im16.bmp,RyanReynolds,OrlandoBloom,OrlandoBloom,RobertPattinson,RyanGosling,LeonardoDiCaprio,,,,,2,5.172778999996808,
DILA0206,_,posfs_RyanReynolds_im17.bmp,RyanReynolds,PatrickDempsey,PatrickDempsey,ElijahWood,BenStiller,BradPitt,,,,,posfs_RyanReynolds_im17.bmp,19.787151399999857,
DILA0206,_,posfs_KeanuReeves_im2.bmp,KeanuReeves,HughJackman,HughJackman,GeorgeClooney,RobertPattinson,BenStiller,,,,,posfs_KeanuReeves_im2.bmp,11.961343199996918,
DILA0206,_,posfs_BradPitt_im17.bmp,BradPitt,PatrickDempsey,PatrickDempsey,LeonardoDiCaprio,JustinTimberlake,HughJackman,,,,,2,4.240659200000664,
DILA0206,_,posfs_GeorgeClooney_im23.bmp,GeorgeClooney,BenAffleck,BenAffleck,MattDamon,OrlandoBloom,KeanuReeves,,,,,posfs_GeorgeClooney_im23.bmp,3.0603374000020267,
DILA0206,_,posfs_RobertPattinson_im30.bmp,RobertPattinson,DanielRadcliffe,DanielRadcliffe,DanielCraig,BenAffleck,JustinTimberlake,,,,,posfs_RobertPattinson_im30.bmp,1.6722132000031706,
DILA0206,_,posfs_RobertDowneyJr_im4.bmp,RobertDowneyJr,RyanGosling,RyanGosling,BradPitt,HughJackman,ElijahWood,,,,,posfs_RobertDowneyJr_im4.bmp,2.8030784000002313,
DILA0206,_,posfs_RobertPattinson_im27.bmp,RobertPattinson,RyanReynolds,RyanReynolds,OrlandoBloom,MattDamon,KeanuReeves,,,,,posfs_RobertPattinson_im27.bmp,2.98431790000177,
DILA0206,_,posfs_DanielRadcliffe_im8.bmp,DanielRadcliffe,MattDamon,MattDamon,PatrickDempsey,RyanReynolds,RobertDowneyJr,,,,,posfs_DanielRadcliffe_im8.bmp,9.269702300000063,
DILA0206,_,posfs_MattDamon_im24.bmp,MattDamon,RobertDowneyJr,RobertDowneyJr,BradPitt,HughJackman,RobertPattinson,,,,,posfs_MattDamon_im24.bmp,14.720509099999617,
DILA0206,_,posfs_ElijahWood_im12.bmp,ElijahWood,DanielRadcliffe,DanielRadcliffe,RobertDowneyJr,GeorgeClooney,BenStiller,,,,,posfs_ElijahWood_im12.bmp,4.617728500001249,
