Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc
ALRE2209,_,posfs_ElijahWood_im23.bmp,ElijahWood,BenAffleck,BenAffleck,RyanGosling,BenStiller,RobertDowneyJr,,,,,4,64.59277829999974,,,,,
ALRE2209,_,posfs_GeorgeClooney_im26.bmp,GeorgeClooney,LeonardoDiCaprio,LeonardoDiCaprio,RobertPattinson,BenAffleck,ElijahWood,,,,,posfs_GeorgeClooney_im26.bmp,90.95294159999958,,,,,
ALRE2209,_,posfs_BenAffleck_im21.bmp,BenAffleck,RyanGosling,RyanGosling,GeorgeClooney,ElijahWood,BradPitt,,,,,posfs_BenAffleck_im21.bmp,98.40881949999994,,,,,
ALRE2209,_,posfs_BenStiller_im2.bmp,BenStiller,RobertDowneyJr,RobertDowneyJr,GeorgeClooney,DanielCraig,RyanReynolds,,,,,posfs_BenStiller_im2.bmp,102.16160589999981,,,,,
ALRE2209,_,posfs_PatrickDempsey_im14.bmp,PatrickDempsey,KeanuReeves,KeanuReeves,RobertDowneyJr,HughJackman,RyanReynolds,,,,,posfs_PatrickDempsey_im14.bmp,107.61701069999981,,,,,
ALRE2209,_,posfs_HughJackman_im13.bmp,HughJackman,BradPitt,BradPitt,PatrickDempsey,MattDamon,RobertPattinson,,,,,4,111.56102599999986,,,,,
ALRE2209,_,posfs_RyanReynolds_im3.bmp,RyanReynolds,BenAffleck,BenAffleck,DanielCraig,MattDamon,OrlandoBloom,,,,,posfs_RyanReynolds_im3.bmp,115.20089529999996,,,,,
ALRE2209,_,posfs_RobertDowneyJr_im11.bmp,RobertDowneyJr,HughJackman,HughJackman,RyanGosling,JustinTimberlake,BenStiller,,,,,posfs_RobertDowneyJr_im11.bmp,119.88172589999976,,,,,
ALRE2209,_,posfs_RyanReynolds_im16.bmp,RyanReynolds,OrlandoBloom,OrlandoBloom,RobertPattinson,RyanGosling,LeonardoDiCaprio,,,,,posfs_RyanReynolds_im16.bmp,124.7456688999996,,,,,
ALRE2209,_,posfs_HughJackman_im20.bmp,HughJackman,JustinTimberlake,JustinTimberlake,RyanReynolds,DanielCraig,OrlandoBloom,,,,,4,129.7060233999996,,,,,
ALRE2209,_,posfs_RyanGosling_im30.bmp,RyanGosling,RyanReynolds,RyanReynolds,DanielCraig,PatrickDempsey,RobertPattinson,,,,,posfs_RyanGosling_im30.bmp,133.41773239999975,,,,,
