Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
YVSY0203,_,posfs_HughJackman_im13.bmp,HughJackman,BradPitt,BradPitt,PatrickDempsey,MattDamon,RobertPattinson,,,,,posfs_HughJackman_im13.bmp,42.11448729999938,
YVSY0203,_,posfs_ElijahWood_im18.bmp,ElijahWood,PatrickDempsey,PatrickDempsey,JustinTimberlake,RobertPattinson,RobertDowneyJr,,,,,1,6.044223100000636,
YVSY0203,_,posfs_RobertDowneyJr_im11.bmp,RobertDowneyJr,HughJackman,HughJackman,RyanGosling,JustinTimberlake,BenStiller,,,,,0,34.53726220000044,
YVSY0203,_,posfs_DanielRadcliffe_im20.bmp,DanielRadcliffe,GeorgeClooney,GeorgeClooney,ElijahWood,RobertPattinson,KeanuReeves,,,,,2,7.282340499999918,
YVSY0203,_,posfs_BenAffleck_im4.bmp,BenAffleck,BenStiller,BenStiller,KeanuReeves,ElijahWood,PatrickDempsey,,,,,4,62.76475750000009,
YVSY0203,_,posfs_BenStiller_im2.bmp,BenStiller,RobertDowneyJr,RobertDowneyJr,GeorgeClooney,DanielCraig,RyanReynolds,,,,,4,45.20400080000036,
YVSY0203,_,posfs_KeanuReeves_im10.bmp,KeanuReeves,MattDamon,MattDamon,OrlandoBloom,PatrickDempsey,LeonardoDiCaprio,,,,,posfs_KeanuReeves_im10.bmp,16.521303199999238,
YVSY0203,_,posfs_BenAffleck_im21.bmp,BenAffleck,RyanGosling,RyanGosling,GeorgeClooney,ElijahWood,BradPitt,,,,,2,5.0185043000001315,
YVSY0203,_,posfs_JustinTimberlake_im4.bmp,JustinTimberlake,BenStiller,BenStiller,RobertDowneyJr,OrlandoBloom,PatrickDempsey,,,,,posfs_JustinTimberlake_im4.bmp,3.5204131999998935,
YVSY0203,_,posfs_MattDamon_im24.bmp,MattDamon,RobertDowneyJr,RobertDowneyJr,BradPitt,HughJackman,RobertPattinson,,,,,posfs_MattDamon_im24.bmp,3.5135965999998007,
